	BackLine	FrontArc	BackArc	TopArc	BottomArc	Bubble	TopLine	BottomLine	Triangle	GreaterThan	TouchUp	Junk	LabelBoxOther	Entire_OR	Entire_AND	Wire
BackLine	9	1	11	1	1	1	1	1	1	1	1	1	1	1	1	1	
FrontArc	1	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
BackArc	7	1	8	1	1	1	1	1	1	1	1	2	1	1	1	1	
TopArc	1	1	1	7	1	1	6	1	1	1	1	1	1	1	1	1	
BottomArc	1	1	1	1	7	1	1	5	1	1	1	1	1	1	1	2	
Bubble	1	3	1	1	1	10	1	1	1	1	1	1	1	1	1	1	
TopLine	1	1	1	6	1	1	3	1	1	1	1	1	1	1	1	1	
BottomLine	1	1	1	1	4	1	1	5	1	1	1	1	1	1	1	1	
Triangle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
GreaterThan	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
TouchUp	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Junk	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
LabelBoxOther	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Entire_OR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Entire_AND	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Wire	2	4	8	20	8	2	14	10	1	1	1	4	1	1	1	26	


