	BackLine	FrontArc	BackArc	TopArc	BottomArc	Bubble	TopLine	BottomLine	Triangle	GreaterThan	TouchUp	Junk	LabelBoxOther	Entire_OR	Entire_AND	Wire
BackLine	6	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	
FrontArc	1	8	3	2	1	1	1	1	1	1	1	1	1	1	1	1	
BackArc	1	1	8	5	1	1	1	1	1	1	1	1	1	1	1	1	
TopArc	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	2	
BottomArc	1	1	1	3	2	1	1	3	1	1	1	1	1	1	1	1	
Bubble	1	1	1	1	4	11	1	1	1	1	1	1	1	1	1	1	
TopLine	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
BottomLine	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Triangle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
GreaterThan	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
TouchUp	1	1	1	3	1	1	1	2	1	1	1	1	1	1	1	2	
Junk	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	
LabelBoxOther	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Entire_OR	1	2	1	1	1	1	1	1	1	1	1	1	1	3	1	1	
Entire_AND	1	4	1	1	1	2	1	1	1	1	1	1	1	1	1	1	
Wire	1	1	4	5	25	1	10	4	1	1	1	1	1	1	1	13	


